NIFTY AUTO,NIFTY ENERGY,NIFTY FIN SERVICE,NIFTY IT,NIFTY FMCG,NIFTY METAL,NIFTY MEDIA,NIFTY PHARMA,NIFTY PSU,NIFTY REALTY,NIFTY PVT BANK
BHARATFORG,ADANIGREEN,BAJAJFINSV,LTI,BRITANNIA,APLAPOLLO,PVR,SUNPHARMA,UNIONBANK,IBREALEST,INDUSINDBK
MRF,RELIANCE,BAJFINANCE,INFY,DABUR,JINDALSTEL,INOXLEISUR,LUPIN,UCOBANK,OMAXE,HDFCBANK
MOTHERSUMI,HINDPETRO,ICICIGI,WIPRO,NESTLEIND,WELCORP,TV18BRDCST,CIPLA,IOB,BRIGADE,KOTAKBANK
MARUTI,GAIL,BAJAJHLDNG,TECHM,HINDUNILVR,NATIONALUM,ZEEL,CADILAHC,J&KBANK,PRESTIGE,CUB
BOSCHLTD,NTPC,HDFCAMC,MINDTREE,COLPAL,HINDZINC,DISHTV,AUROPHARMA,BANKINDIA,SOBHA,BANDHANBNK
M&M,ONGC,HDFCLIFE,TCS,MARICO,HINDCOPPER,TVTODAY,DIVISLAB,SBIN,DLF,RBLBANK
BAJAJ-AUTO,IOC,M&MFIN,MPHASIS,VBL,MOIL,SUNTV,ALKEM,CANBK,PHOENIXLTD,IDFCFIRSTB
EICHERMOT,BPCL,SBILIFE,NAUKRI,TATACONSUM,JSWSTEEL,DBCORP,DRREDDY,MAHABANK,SUNTECK,ICICIBANK
TATAMOTORS,TATAPOWER,CHOLAFIN,HCLTECH,GODREJCP,TATASTEEL,HATHWAY,BIOCON,CENTRALBK,OBEROIRLTY,AXISBANK
HEROMOTOCO,POWERGRID,ICICIPRULI,,MCDOWELL-N,NMDC,JAGRAN,TORNTPHARM,INDIANB,GODREJPROP,FEDERALBNK
TVSMOTOR,,PEL,,JUBLFOOD,COALINDIA,,,BANKBARODA,,
EXIDEIND,,SRTRANSFIN,,EMAMILTD,MIDHANI,,,PNB,,
BALKRISIND,,HDFC,,PGHH,SAIL,,,,,
ASHOKLEY,,RECLTD,,ITC,RATNAMANI,,,,,
AMARAJABAT,,PFC,,UBL,HINDALCO,,,,,
